risk_score,archive_code,name,township,category_main,era,heritage_level,condition_level,prot_measures,risk_factors,ownership_type,address
5,990101-0006,V03村石棺墓,示范街道,古墓葬,宋,尚未核定公布为文物保护单位的不可移动文物,一般,,雨雪，生产生活活动,国家所有,示范省演示市演示县示范街道V03村村内
5,990101-0009,V05村聚落遗址,示范街道,古遗址,新石器时代,省级文物保护单位,较差,说明牌,雨雪，生产生活活动，其他因素,国家所有,示范省演示市演示县示范街道V05村村内
5,990101-0010,V05村汉墓,示范街道,古墓葬,汉,尚未核定公布为文物保护单位的不可移动文物,差,围栏、说明牌,雨雪，生产生活活动，人为破坏，其他因素,国家所有,示范省演示市演示县示范街道V05村村内
4,990101-0003,V02村古墓群,示范街道,古墓葬,明,尚未核定公布为文物保护单位的不可移动文物,较差,围栏,雨雪，生产生活活动，其他因素,国家所有,示范省演示市演示县示范街道V02村村内
4,990101-0005,V03村摩崖题刻,示范街道,石窟寺及石刻,唐,尚未核定公布为文物保护单位的不可移动文物,较好,,雨雪,集体所有,示范省演示市演示县示范街道V03村村内
2,990101-0002,V01村古井,示范街道,古建筑,清,尚未核定公布为文物保护单位的不可移动文物,一般,围栏、说明牌,雨雪，生产生活活动,集体所有,示范省演示市演示县示范街道V01村村内
2,990101-0004,V02村石拱桥,示范街道,古建筑,清,县级文物保护单位,一般,围栏、说明牌,雨雪，生产生活活动,集体所有,示范省演示市演示县示范街道V02村村内
2,990101-0007,V04村文昌阁,示范街道,古建筑,清,市级文物保护单位,一般,围栏、说明牌,雨雪，生产生活活动,集体所有,示范省演示市演示县示范街道V04村村内
2,990101-0011,V06村塔基遗址,示范街道,古遗址,元,尚未核定公布为文物保护单位的不可移动文物,一般,围栏,雨雪，生产生活活动,国家所有,示范省演示市演示县示范街道V06村村内
2,990101-0013,V07村老民居,示范街道,近现代重要史迹及代表性建筑,民国,尚未核定公布为文物保护单位的不可移动文物,一般,说明牌,雨雪，生产生活活动,集体所有,示范省演示市演示县示范街道V07村村内
1,990101-0001,V01村古窑址,示范街道,古遗址,汉,尚未核定公布为文物保护单位的不可移动文物,较好,说明牌,雨雪,国家所有,示范省演示市演示县示范街道V01村村内
1,990101-0008,V04村文昌阁碑,示范街道,石窟寺及石刻,清,尚未核定公布为文物保护单位的不可移动文物,较好,围栏、说明牌,雨雪,集体所有,示范省演示市演示县示范街道V04村村内
1,990101-0014,V08村石雕造像,示范街道,石窟寺及石刻,南北朝,尚未核定公布为文物保护单位的不可移动文物,较好,围栏、说明牌,雨雪,集体所有,示范省演示市演示县示范街道V08村村内
0,990101-0012,V07村革命纪念碑,示范街道,近现代重要史迹及代表性建筑,1949年,县级文物保护单位,好,围栏、说明牌,,集体所有,示范省演示市演示县示范街道V07村村内
0,990101-0015,V08村古树名木遗存,示范街道,其他,民国,尚未核定公布为文物保护单位的不可移动文物,好,说明牌,,集体所有,示范省演示市演示县示范街道V08村村内
