archive_code,name,survey_type,category_main,category_sub,era,era_stats,heritage_level,province,city,county,township,address,center_lat,center_lng,center_alt,has_boundary,boundary_count,area,area_numeric,prot_unit,has_prot_zone,has_ctrl_zone,ownership_type,owner,user,managing_org,industry,is_open,usage,is_relocated,is_changed,condition_level,prot_measures,risk_factors,audit_result,surveyors,survey_date,reviewer,review_date,drawing_count,photo_count,risk_score,intro,remark,has_3d,model_3d_path,source_file
990101-0001,V01村古窑址,复查,古遗址,古窑址,汉,战汉,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V01村村内,30.15837403,120.0341504,30.0,True,4,360平方米,360.0,,否,否,国家所有,,V01村村民委员会,示范街道办事处,农业,开放,无人使用,否,否,较好,说明牌,雨雪,资料翔实，数据准确，填写规范，符合要求。,调查员C，调查员D，调查员B,2024.10.19,审核员A,2025.05.06,2,4,1,V01村古窑址位于示范省演示市演示县示范街道V01村内，是一处战汉时期的古窑址，占地约360平方米。本条目为演示数据集中的古遗址类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体基本完整，表面存在轻度风化痕迹，整体保存状况较好。2024年第四次全国文物普查对其进行了复查，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0001_V01村古窑址_20260421120000.md
990101-0002,V01村古井,新发现,古建筑,古井,清,清代,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V01村村内,30.14743438,120.01849874,30.0,False,0,3平方米,3.0,,否,否,集体所有,V01村村民委员会,V01村村民委员会,示范街道办事处,文化,开放,农业生产,否,否,一般,围栏、说明牌,雨雪，生产生活活动,资料翔实，数据准确，填写规范，符合要求。,调查员B，调查员E，调查员D，调查员A，调查员C,2024.10.28,审核员A,2025.05.28,2,6,2,V01村古井位于示范省演示市演示县示范街道V01村内，是一处清代时期的古井，占地约3平方米。本条目为演示数据集中的古建筑类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体存在一定程度的自然侵蚀与人为影响，需加强日常巡查。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0002_V01村古井_20260421120000.md
990101-0003,V02村古墓群,新发现,古墓葬,普通墓葬,明,明代,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V02村村内,30.18628836,120.06105791,30.0,True,4,240平方米,240.0,,否,否,国家所有,,V02村村民委员会,示范街道办事处,农业,开放,农业生产,否,否,较差,围栏,雨雪，生产生活活动，其他因素,资料翔实，数据准确，填写规范，符合要求。,调查员B，调查员E，调查员A，调查员D,2024.09.07,审核员A,2025.04.03,2,6,4,V02村古墓群位于示范省演示市演示县示范街道V02村内，是一处明代时期的普通墓葬，占地约240平方米。本条目为演示数据集中的古墓葬类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体已出现明显病害，周边环境受生产活动影响，亟待保护。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0003_V02村古墓群_20260421120000.md
990101-0004,V02村石拱桥,复查,古建筑,桥梁涵洞,清,清代,县级文物保护单位,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V02村村内,30.1615141,120.06976809,30.0,False,0,48平方米,48.0,,是,否,集体所有,V02村村民委员会,V02村村民委员会,示范街道办事处,文化,开放,农业生产,否,否,一般,围栏、说明牌,雨雪，生产生活活动,资料翔实，数据准确，填写规范，符合要求。,调查员D，调查员C，调查员A，调查员E，调查员B,2024.10.16,审核员A,2025.05.07,2,4,2,V02村石拱桥位于示范省演示市演示县示范街道V02村内，是一处清代时期的桥梁涵洞，占地约48平方米。本条目为演示数据集中的古建筑类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体存在一定程度的自然侵蚀与人为影响，需加强日常巡查。2024年第四次全国文物普查对其进行了复查，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0004_V02村石拱桥_20260421120000.md
990101-0005,V03村摩崖题刻,新发现,石窟寺及石刻,摩崖石刻,唐,隋唐,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V03村村内,30.16386653,120.13762761,30.0,False,0,6平方米,6.0,,否,否,集体所有,V03村村民委员会,V03村村民委员会,示范街道办事处,文化,开放,开放参观,否,否,较好,,雨雪,资料翔实，数据准确，填写规范，符合要求。,调查员B，调查员A，调查员D，调查员C，调查员E,2024.10.26,审核员A,2025.03.11,2,7,4,V03村摩崖题刻位于示范省演示市演示县示范街道V03村内，是一处隋唐时期的摩崖石刻，占地约6平方米。本条目为演示数据集中的石窟寺及石刻类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体基本完整，表面存在轻度风化痕迹，整体保存状况较好。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0005_V03村摩崖题刻_20260421120000.md
990101-0006,V03村石棺墓,新发现,古墓葬,土墩墓,宋,宋代,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V03村村内,30.16891163,120.14075006,30.0,True,4,80平方米,80.0,,否,否,国家所有,,V03村村民委员会,示范街道办事处,农业,开放,开放参观,否,否,一般,,雨雪，生产生活活动,资料翔实，数据准确，填写规范，符合要求。,调查员E，调查员D，调查员A，调查员B，调查员C,2024.09.03,审核员A,2025.03.05,2,6,5,V03村石棺墓位于示范省演示市演示县示范街道V03村内，是一处宋代时期的土墩墓，占地约80平方米。本条目为演示数据集中的古墓葬类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体存在一定程度的自然侵蚀与人为影响，需加强日常巡查。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0006_V03村石棺墓_20260421120000.md
990101-0007,V04村文昌阁,复查,古建筑,楼阁,清,清代,市级文物保护单位,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V04村村内,30.12610356,120.1726674,30.0,True,4,120平方米,120.0,,是,否,集体所有,V04村村民委员会,V04村村民委员会,示范街道办事处,文化,开放,无人使用,否,否,一般,围栏、说明牌,雨雪，生产生活活动,资料翔实，数据准确，填写规范，符合要求。,调查员C，调查员B，调查员E，调查员A,2024.10.17,审核员A,2025.05.07,2,7,2,V04村文昌阁位于示范省演示市演示县示范街道V04村内，是一处清代时期的楼阁，占地约120平方米。本条目为演示数据集中的古建筑类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体存在一定程度的自然侵蚀与人为影响，需加强日常巡查。2024年第四次全国文物普查对其进行了复查，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0007_V04村文昌阁_20260421120000.md
990101-0008,V04村文昌阁碑,新发现,石窟寺及石刻,碑刻,清,清代,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V04村村内,30.18664715,120.15921019,30.0,False,0,2平方米,2.0,,否,否,集体所有,V04村村民委员会,V04村村民委员会,示范街道办事处,文化,开放,开放参观,否,否,较好,围栏、说明牌,雨雪,资料翔实，数据准确，填写规范，符合要求。,调查员C，调查员B，调查员A，调查员D,2024.11.15,审核员A,2025.01.08,2,4,1,V04村文昌阁碑位于示范省演示市演示县示范街道V04村内，是一处清代时期的碑刻，占地约2平方米。本条目为演示数据集中的石窟寺及石刻类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体基本完整，表面存在轻度风化痕迹，整体保存状况较好。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0008_V04村文昌阁碑_20260421120000.md
990101-0009,V05村聚落遗址,新发现,古遗址,聚落址,新石器时代,新石器,省级文物保护单位,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V05村村内,30.07126855,120.03765022,30.0,True,4,8600平方米,8600.0,,是,是,国家所有,,V05村村民委员会,示范街道办事处,农业,开放,开放参观,否,否,较差,说明牌,雨雪，生产生活活动，其他因素,资料翔实，数据准确，填写规范，符合要求。,调查员D，调查员B，调查员C,2024.09.23,审核员A,2025.06.18,2,4,5,V05村聚落遗址位于示范省演示市演示县示范街道V05村内，是一处新石器时期的聚落址，占地约8600平方米。本条目为演示数据集中的古遗址类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体已出现明显病害，周边环境受生产活动影响，亟待保护。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0009_V05村聚落遗址_20260421120000.md
990101-0010,V05村汉墓,新发现,古墓葬,封土墓,汉,战汉,尚未核定公布为文物保护单位的不可移动文物,示范省,演示市,演示县,示范街道,示范省演示市演示县示范街道V05村村内,30.06848916,120.03912461,30.0,False,0,180平方米,180.0,,否,否,国家所有,,V05村村民委员会,示范街道办事处,农业,开放,开放参观,否,否,差,围栏、说明牌,雨雪，生产生活活动，人为破坏，其他因素,资料翔实，数据准确，填写规范，符合要求。,调查员D，调查员C，调查员B，调查员A,2024.11.15,审核员A,2025.04.27,2,4,5,V05村汉墓位于示范省演示市演示县示范街道V05村内，是一处战汉时期的封土墓，占地约180平方米。本条目为演示数据集中的古墓葬类样本，用于展示平台的文物档案、三维地图与多维统计功能。文物本体损毁严重，部分结构缺失，存在较高的灭失风险。2024年第四次全国文物普查对其进行了新发现，数据真实与否不影响平台原型功能的体验。⚠️ 注意：本条目为公开仓库的演示数据，名称、坐标、简介均为随机生成，不对应任何真实文物。,本条目数据由 generate_demo_data.py 在 2026-04-21 随机生成，仅用于公开演示，不具备档案学意义。,False,,990101-0010_V05村汉墓_20260421120000.md
